Departure Time 1;From1;Day Of Week;To1;Departure Time 2;From2;To2;Type
26.12.2015 18:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 19:18;Одинцово;Дубки;Bus
26.12.2015 19:05;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 19:30;Одинцово;Дубки;Bus
26.12.2015 19:15;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 19:39;Одинцово;Дубки;Bus
26.12.2015 19:25;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 19:45;Одинцово;Дубки;Bus
26.12.2015 19:40;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:00;Одинцово;Дубки;Bus
26.12.2015 19:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:16;Одинцово;Дубки;Bus
26.12.2015 20:00;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:21;Одинцово;Дубки;Bus
26.12.2015 20:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:32;Одинцово;Дубки;Bus
26.12.2015 20:20;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:43;Одинцово;Дубки;Bus
26.12.2015 20:30;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 20:49;Одинцово;Дубки;Bus
26.12.2015 20:40;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:00;Одинцово;Дубки;Bus
26.12.2015 20:45;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:09;Одинцово;Дубки;Bus
26.12.2015 20:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:15;Одинцово;Дубки;Bus
26.12.2015 21:05;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:27;Одинцово;Дубки;Bus
26.12.2015 21:15;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:36;Одинцово;Дубки;Bus
26.12.2015 21:35;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 21:52;Одинцово;Дубки;Bus
26.12.2015 21:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 22:18;Одинцово;Дубки;Bus
26.12.2015 22:00;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 22:20;Одинцово;Дубки;Bus
26.12.2015 22:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Славянский Бульвар;26.12.2015 23:05;Славянский Бульвар;Дубки;Bus
26.12.2015 22:15;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 22:33;Одинцово;Дубки;Bus
26.12.2015 22:35;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 22:55;Одинцово;Дубки;Bus
26.12.2015 22:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 23:05;Одинцово;Дубки;Bus
26.12.2015 23:00;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 23:21;Одинцово;Дубки;Bus
26.12.2015 23:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Славянский Бульвар;26.12.2015 0:05;Славянский Бульвар;Дубки;Bus
26.12.2015 23:20;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 23:40;Одинцово;Дубки;Bus
26.12.2015 23:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 0:07;Одинцово;Дубки;Bus
;;ПН,ВТ,СР,ЧТ,ПТ;;26.12.2015 1:05;Одинцово;Дубки;Bus
26.12.2015 6:30;Дубки;СБ;Одинцово;26.12.2015 6:50;Одинцово;Дубки;Bus
26.12.2015 6:40;Дубки;СБ;Одинцово;26.12.2015 7:00;Одинцово;Дубки;Bus
26.12.2015 6:55;Дубки;СБ;Одинцово;26.12.2015 7:15;Одинцово;Дубки;Bus
26.12.2015 7:05;Дубки;СБ;Одинцово;26.12.2015 7:25;Одинцово;Дубки;Bus
26.12.2015 7:20;Дубки;СБ;Одинцово;26.12.2015 7:40;Одинцово;Дубки;Bus
26.12.2015 7:35;Дубки;СБ;Одинцово;26.12.2015 7:55;Одинцово;Дубки;Bus
26.12.2015 7:40;Дубки;СБ;Одинцово;26.12.2015 8:00;Одинцово;Дубки;Bus
26.12.2015 7:50;Дубки;СБ;Одинцово;26.12.2015 8:10;Одинцово;Дубки;Bus
26.12.2015 8:00;Дубки;СБ;Одинцово;26.12.2015 8:20;Одинцово;Дубки;Bus
26.12.2015 8:05;Дубки;СБ;Одинцово;26.12.2015 8:25;Одинцово;Дубки;Bus
26.12.2015 8:15;Дубки;СБ;Одинцово;26.12.2015 8:35;Одинцово;Дубки;Bus
26.12.2015 8:20;Дубки;СБ;Одинцово;26.12.2015 8:40;Одинцово;Дубки;Bus
26.12.2015 8:55;Дубки;СБ;Одинцово;26.12.2015 9:15;Одинцово;Дубки;Bus
26.12.2015 9:00;Дубки;СБ;Одинцово;26.12.2015 9:20;Одинцово;Дубки;Bus
26.12.2015 9:10;Дубки;СБ;Одинцово;26.12.2015 9:30;Одинцово;Дубки;Bus
26.12.2015 9:20;Дубки;СБ;Одинцово;26.12.2015 9:40;Одинцово;Дубки;Bus
26.12.2015 9:35;Дубки;СБ;Одинцово;26.12.2015 9:55;Одинцово;Дубки;Bus
26.12.2015 10:10;Дубки;СБ;Одинцово;26.12.2015 10:30;Одинцово;Дубки;Bus
26.12.2015 10:20;Дубки;СБ;Одинцово;26.12.2015 10:40;Одинцово;Дубки;Bus
26.12.2015 10:25;Дубки;СБ;Одинцово;26.12.2015 10:45;Одинцово;Дубки;Bus
26.12.2015 10:35;Дубки;СБ;Одинцово;26.12.2015 10:55;Одинцово;Дубки;Bus
26.12.2015 10:45;Дубки;СБ;Одинцово;26.12.2015 11:05;Одинцово;Дубки;Bus
26.12.2015 10:50;Дубки;СБ;Славянский Бульвар;26.12.2015 12:55;Славянский Бульвар;Дубки;Bus
26.12.2015 11:15;Дубки;СБ;Одинцово;26.12.2015 11:35;Одинцово;Дубки;Bus
26.12.2015 11:35;Дубки;СБ;Одинцово;26.12.2015 11:55;Одинцово;Дубки;Bus
26.12.2015 11:45;Дубки;СБ;Одинцово;26.12.2015 12:05;Одинцово;Дубки;Bus
26.12.2015 11:55;Дубки;СБ;Одинцово;26.12.2015 12:15;Одинцово;Дубки;Bus
26.12.2010 12:25;Дубки;СБ;Одинцово;26.12.2015 12:50;Одинцово;Дубки;Bus
26.12.2015 13:00;Дубки;СБ;Одинцово;26.12.2015 13:15;Одинцово;Дубки;Bus
26.12.2015 13:05;Дубки;СБ;Славянский Бульвар;26.12.2015 14:30;Славянский Бульвар;Дубки;Bus
26.12.2015 13:10;Дубки;СБ;Одинцово;26.12.2015 13:35;Одинцово;Дубки;Bus
26.12.2015 13:15;Дубки;СБ;Славянский Бульвар;26.12.2015 15:05;Славянский Бульвар;Дубки;Bus
