Number;DepartureTime;DayOfWeek;From;To;Type
339;19.03.2016 15:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 15:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 16:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 17:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 18:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 19:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 20:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 21:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 22:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 23:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 23:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 23:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 23:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 23:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
454;19.03.2016 6:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 6:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 6:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 6:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 6:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 6:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 7:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 8:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 9:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 9:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 9:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 9:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
454;19.03.2016 9:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Киевская;Bus
